nome_cientifico,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Lepidothrix iris iris,Animalia,Chordata,Aves,Passeriformes,Pipridae,Lepidothrix,aves
Pterodroma arminjoniana,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,aves
Mirinaba curytibana,Animalia,Mollusca,Gastropoda,Stylommatophora,Strophocheilidae,Mirinaba,moluscos
Plesiophysa dolichomastix,Animalia,Mollusca,Gastropoda,Pulmonata,Planorbidae,Plesiophysa,moluscos
Troglorhopalurus translucidus,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Troglorhopalurus,aracnideos
Ochyrocera ritxoo,Animalia,Arthropoda,Arachnida,Araneae,Ochyroceratidae,Ochyrocera,aracnideos
Amphisbaena ridleyi,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Phaethornis margarettae camargoi,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Phaethornis,aves
Arrhopalites heteroculatus,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Arrhopalites,outros
Micrastur mintoni,Animalia,Chordata,Aves,Falconiformes,Falconidae,Micrastur,aves
Leopardus wiedii,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,mamiferos
Eufriesea brasilianorum,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Eufriesea,insetos
Sternarchorhynchus mareikeae,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,Sternarchorhynchus,peixes
Columbina cyanopis,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,aves
Melanophryniscus cambaraensis,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,anfibios
Harttia panara,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Harttia,peixes
Marinussaurus curupira,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Marinussaurus,repteis
Pseudosinella brumadinhoensis,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Entomobryidae,Pseudosinella,outros
Calidris subruficollis,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,aves
Otaria flavescens,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Otaria,mamiferos
Carcharias taurus,Animalia,Chordata,Elasmobranchii,Lamniformes,Carchariidae,Carcharias,peixes
Inia geoffrensis,Animalia,Chordata,Mammalia,Artiodactyla,Iniidae,Inia,mamiferos
Potamolithus troglobius,Animalia,Mollusca,Gastropoda,Caenogastropoda,Hydrobiidae,Potamolithus,moluscos
Baryancistrus niveatus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Baryancistrus,peixes
Xiphorhynchus guttatoides gracilirostris,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Xiphorhynchus,aves
Canthon quadripunctatus,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,insetos
Iansaoniscus paulae,Animalia,Arthropoda,Malacostraca,Isopoda,Pudeoniscidae,Iansaoniscus,crustaceos
Pulsatrix perspicillata pulsatrix,Animalia,Chordata,Aves,Strigiformes,Strigidae,Pulsatrix,aves
Pontoporia blainvillei,Animalia,Chordata,Mammalia,Artiodactyla,Pontoporiidae,Pontoporia,mamiferos
Herpailurus yagouaroundi,Animalia,Chordata,Mammalia,Carnivora,Felidae,Herpailurus,mamiferos
Boana buriti,Animalia,Chordata,Amphibia,Anura,Hylidae,Boana,anfibios
Camelobaetidius spinosus,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Camelobaetidius,insetos
Enyalius brasiliensis,Animalia,Chordata,Reptilia,Squamata,Leiosauridae,Enyalius,repteis
Harttia villasboas,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Harttia,peixes
Thripophaga macroura,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Thripophaga,aves
Sterna hirundinacea,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,aves
Pyrilia vulturina,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrilia,aves
Alopias vulpinus,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,peixes
Kiautagrion acutum,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Kiautagrion,insetos
Partamona littoralis,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Partamona,insetos
Ferricixius michaeli,Animalia,Arthropoda,Insecta,Hemiptera,Cixiidae,Ferricixius,insetos
Charinus caatingae,Animalia,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,aracnideos
Pampasatyrus glaucope glaucope,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pampasatyrus,insetos
Hypostomus subcarinatus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypostomus,peixes
Atractus thalesdelemai,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Atractus,repteis
Pseudobatos lentiginosus,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,Pseudobatos,peixes
Balistes capriscus,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Balistes,peixes
Nematolebias catimbau,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Nematolebias,peixes
Copelatus cessaima,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Copelatus,insetos
Cerradomys goytaca,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cerradomys,mamiferos
Amphisbaena uroxena,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Odontostomus dautzenbergianus,Animalia,Mollusca,Gastropoda,Pulmonata,Odontostomidae,Odontostomus,moluscos
Tropidurus chromatops,Animalia,Chordata,Reptilia,Squamata,Tropiduridae,Tropidurus,repteis
Cycloramphus diringshofeni,Animalia,Chordata,Amphibia,Anura,Cycloramphidae,Cycloramphus,anfibios
Cayenniola albaserrata,Animalia,Arthropoda,Diplopoda,Polydesmida,Chelodesmidae,Cayenniola,outros
Formicivora grantsaui,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Formicivora,aves
Mobula mobular,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,peixes
Pseudosinella cearensis,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Entomobryidae,Pseudosinella,outros
Calyptommatus sinebrachiatus,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Calyptommatus,repteis
Lycomorphon brasiliense,Animalia,Arthropoda,Insecta,Coleoptera,Lycidae,Lycomorphon,insetos
Dendrexetastes paraensis paraensis,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Dendrexetastes,aves
Hypocnemis striata,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Hypocnemis,aves
Hyphessobrycon flammeus,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Hyphessobrycon,peixes
Ituglanis epikarsticus,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis,peixes
Squatina argentina,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,peixes
Hypsolebias trilineatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Ololygon alcatraz,Animalia,Chordata,Amphibia,Anura,Hylidae,Ololygon,anfibios
Megalops atlanticus,Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae,Megalops,peixes
Alouatta guariba,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,mamiferos
Gonycranaus pluto,Animalia,Arthropoda,Arachnida,Opiliones,Gerdesiidae,Gonycranaus,aracnideos
Hypocnemis ochrogyna,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Hypocnemis,aves
Xipholena atropurpurea,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Xipholena,aves
Nyctimantis pomba,Animalia,Chordata,Amphibia,Anura,Hylidae,Nyctimantis,anfibios
Formicivora iheringi,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Formicivora,aves
Liolaemus lutzae,Animalia,Chordata,Reptilia,Squamata,Liolaemidae,Liolaemus,repteis
Miroculis stenopterus,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Miroculis,insetos
Liolaemus arambarensis,Animalia,Chordata,Reptilia,Squamata,Liolaemidae,Liolaemus,repteis
Coarazuphium spinifemur,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Sternarchorhynchus jaimei,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,Sternarchorhynchus,peixes
Fregata trinitatis,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,aves
Apostolepis gaboi,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Apostolepis,repteis
Garcialebias pelotapes,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Garcialebias,peixes
Ischnocnema karst,Animalia,Chordata,Amphibia,Anura,Brachycephalidae,Ischnocnema,anfibios
Hyphessobrycon veredus,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Hyphessobrycon,peixes
Mimagoniates lateralis,Animalia,Chordata,Actinopterygii,Characiformes,Stevardiidae,Mimagoniates,peixes
Cetorhinus maximus,Animalia,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,peixes
Balaenoptera physalus,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,mamiferos
Cambeva crassicaudata,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva,peixes
Hypsolebias fasciatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Hyporthodus flavolimbatus,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Hyporthodus,peixes
Arhysosage cactorum,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Arhysosage,insetos
Neopelma aurifrons,Animalia,Chordata,Aves,Passeriformes,Pipridae,Neopelma,aves
Charinus spelaeus,Animalia,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,aracnideos
Prochilodus vimboides,Animalia,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Prochilodus,peixes
Alopias superciliosus,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,peixes
Leptokoenenia thalassophobica,Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Leptokoenenia,aracnideos
Rioraja agassizii,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Rioraja,peixes
Neoplecostomus botucatu,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Neoplecostomus,peixes
Kinnapotiguara troglobia,Animalia,Arthropoda,Insecta,Hemiptera,Kinnaridae,Kinnapotiguara,insetos
Hypsolebias notatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Amphisbaena carli,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Euparkerella robusta,Animalia,Chordata,Amphibia,Anura,Strabomantidae,Euparkerella,anfibios
Capito dayi,Animalia,Chordata,Aves,Piciformes,Capitonidae,Capito,aves
Grallaria varia intercedens,Animalia,Chordata,Aves,Passeriformes,Grallariidae,Grallaria,aves
Negaprion brevirostris,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Negaprion,peixes
Bathygobius brasiliensis,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Bathygobius,peixes
Parathyone surinamensis,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Parathyone,outros
Potamolithus karsticus,Animalia,Mollusca,Gastropoda,Caenogastropoda,Tateidae,Potamolithus,moluscos
Tangara fastuosa,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tangara,aves
Tolypeutes tricinctus,Animalia,Chordata,Mammalia,Cingulata,Chlamyphoridae,Tolypeutes,mamiferos
Pyrrhura molinae,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,aves
