nome_cientifico,nome_popular
Charadrius wilsonia,
Penelope superciliaris alagoensis,
Lagothrix lagothricha,
Stegastes sanctipauli,
Melanophryniscus montevidensis,Sapinho de Barriga Vermelha Uruguaio
Sphyrna zygaena,Tubarão Martelo
Hylodes sazimai,
Celeus obrieni,
Ophthalmolebias ilheusensis,Peixe-anual
Hasemania piatan,Piaba
Pristis pectinata,
Melanorivulus pinima,
Colobodactylus dalcyanus,
Hypleurochilus brasil,
Trichechus manatus,Peixe-boi das Américas
Leposoma baturitensis,
Endecous apterus,
Amphisbaena supernumeraria,Cobra-de-duas-cabeças
Hyporthodus nigritus,Cherne negro
Garcialebias cheffei,
Hylodes magalhaesi,
Garcialebias nachtigalli,Peixe-anual
Trichechus inunguis,Peixe-boi Amazónico
Crossodactylodes itambe,
Aegla inconspicua,
Psilops seductus,
Ancistrus cryptophthalmus,Cascudinho-de-caverna
Phalotris multipunctatus,Fura-terra pintada
Sclerurus caudacutus caligineus,
Callistomys pictus,rato-do-cacau
Cebus kaapori,Caiarara ka’apor
Acantholebias quirogai,
Rodriguesophis scriptorcibatus,Muçurana-nariguda do São Francisco
Calidris canutus,
Platyrinchus leucoryphus,
Neomorphus geoffroyi geoffroyi,
Cynolebias griseus,Peixe-anual
Carcharhinus leucas,
Conorhynchos conirostris,Pirá
Phaethornis major,
Hypsolebias stellatus,
Steindachneridion amblyurum,Surubim-do-jequitinhonha
Tropidurus hygomi,
Hyphessobrycon cantoi,
Hypanus berthalutzae,Raia de Pedra
Pyrrhura amazonum,
Trogon collaris eytoni,
Knipolegus franciscanus,
Schiffornis turdina intermedia,
Fluminagrion taxaense,
Leporinus pitingai,Aracu
Melanophryniscus admirabilis,Sapinho-admirável-de-barriga-vermelha
Achirus mucuri,
Teleocichla centisquama,Sabãozinho
Bathytoshia centroura,raia prego espinhosa
Apostolepis vittata,
Hypsolebias igneus,Peixe-anual
Eubalaena australis,Baleia Franca Austral
Tangara cyanocephala cearensis,
Hypsolebias gilbertobrasili,Peixe anual
Characidium vestigipinne,Canivete
Scarus zelindae,Aipimixira
Scartella itajobi,
Lophiosilurus alexandri,Pacamã
Merulaxis stresemanni,Entufado-baiano
Nyctibius leucopterus,
Parancistrus nudiventris,
Polyprion americanus,
Atlantirivulus lazzarotoi,
Ranacephala hogei,Cágado-de-Hogei
Procnias averano averano,
Atlantoraja cyclophora,Raia-santa
Leptasthenura platensis,
Gubernatrix cristata,
Steindachneridion punctatum,
Neomorphus geoffroyi dulcis,
Pyrrhura pfrimeri,
Cynolebias leptocephalus,Peixe-anual
Aegla inermis,
Sapajus flavius,
Hypsolebias virgulatus,Peixe-anual
Sphyrna media,Cação-martelo
Heptapterus multiradiatus,Bagrinho-do-tietê
Delturus parahybae,Cascudo
Fontitrygon colarensis,Arraia Branca Bicuda
Thoropa petropolitana,
Anodontites iheringi,
Psophia obscura,
Myrmecophaga tridactyla,Tamanduá Bandeira
Automolus lammi,
Carcharodon carcharias,
Stygichthys typhlops,Piaba-branca
Speothos venaticus,Cachorrinho
Eurolophosaurus divaricatus,
Balaenoptera borealis,Baleia Sei
Crypturellus noctivagus noctivagus,
Calamodontophis ronaldoi,
Epinephelus morio,
Sphyrna mokarran,
Proceratophrys sanctaritae,
Mergus octosetaceus,
Ceratophrys ornata,Intanha
Cnesterodon carnegiei,Barrigudinho
Hypocnemis hypoxantha ochraceiventris,
Sphaenorhynchus canga,
Cycloramphus stejnegeri,
Leposternon scutigerum,
Leontopithecus rosalia,Mico-leão-dourado
Hypsolebias carlettoi,Peixe-anual
Coryphaspiza melanotis,
Cynopoecilus intimus,Peixe-anual
Microakodontomys transitorius,
Chiropotes satanas,Cuxiú
Sula sula,
Pyriglena atra,
Galeorhinus galeus,Cacao Tope
Spinus yarrellii,
Sapajus xanthosternos,Macaco-prego
Monocondylaea paraguayana,
Garcialebias araucarianus,
Sympterygia acuta,
Trichomycterus rubbioli,Bagrinho-de-caverna
Hylaeamys oniscus,
Callicebus personatus,
Hermanella amere,
Holoscolex dossantosi,Minhoca
Procellosaurinus tetradactylus,
Aratinga solstitialis,
Grallaria varia distincta,
Pogonopoma parahybae,Cascudo-leiteiro
Celeus torquatus pieteroyensi,
Simpsonichthys santanae,Peixe-anual
Placosoma limaverdorum,
Hylopezus ochroleucus,
Sporophila falcirostris,
Dichotomius schiffleri,
Simpsonichthys boitonei,Peixe-anual
Leptolebias marmoratus,Peixe-anual
Leontopithecus chrysopygus,Mico-leão-preto
Alopoglossus collii,
Dendrocincla merula badia,
Campellolebias dorsimaculatus,Peixe-anual
Aegla perobae,
Bothrops alcatraz,Jararaca-de-Alcatrazes
Hypsolebias radiosus,
Otothyris juquiae,Cascudinho-anão
Paratrygon aiereba,Arraia Aramassá ou Maramassá
Liolaemus occipitalis,
Caparaonia itaiquara,
Sotalia guianensis,Boto
Nyctibius aethereus aethereus,
Sotalia fluviatilis,
Contomastix vacariensis,
Plesioptopoma curvidens,Cascudinho
Rhincodon typus,Tubarão-baleia
Cambeva mboycy,Candiru
Thalpomys lasiotis,
Lagothrix lagothricha poeppigii,
Sternarchorhynchus severii,Ituí
Thamnophilus nigrocinereus tschudii,
Chelonoidis denticulatus,Jabuti
Acyrtus pauciradiatus,Ventosa-de-Noronha
Prochilodus britskii,Curimatã
Sartor tucuruiensis,Aracu-boca-pra-cima
Hypsolebias janaubensis,Peixe-anual
Pyrrhura leucotis,
Characidium onca,
Oxyruncus cristatus tocantinsi,
Narcine brasiliensis,
Rhinoptera brasiliensis,
