nome_cientifico,taxon_id_icmbio,consta_lista_ameacada,dado_sensivel
Atlantirivulus nudiventris,2025429,True,False
Nematolebias papilliferus,176682,True,False
Odontophorus capueira plumbeicollis,2025832,True,False
Troglobentosminthurus luridus,2304171,True,False
Callicebus coimbrai,1715765,True,False
Cynopoecilus feltrini,2300571,True,False
Scytalopus novacapitalis,6717,True,False
Spelaeogammarus trajanoae,2028032,True,False
Pectenoniscus pankaru,2304058,True,False
Chasmocranus brachynema,1013958,True,False
Apostolepis striata,2023363,True,False
Echinanthera cephalomaculata,1825843,True,False
Neomorphus geoffroyi amazonicus,2025822,True,False
Hemitriccus mirandae,7272,True,False
Aegla georginae,2300449,True,False
Iodopleura pipra leucopygia,2025993,True,False
Spelaeogammarus santanensis,2028033,True,False
Megalobulimus rolandianus,2303452,True,False
Dendrocolaptes transfasciatus,2302998,True,False
Eusarcus elinae,2024057,True,False
Anodorhynchus leari,9940,True,True
Coarazuphium caatinga,2024686,True,False
Sclerurus cearensis,2025925,True,False
Bothrops muriciensis,1255175,True,False
Arlesia intermedia,2024477,True,False
Anumara forbesi,2300478,True,False
Hylexetastes brigidai,7305,True,False
Placosoma cipoense,244006,True,False
Phylloscartes ceciliae,6505,True,False
Adelophryne maranguapensis,217566,True,False
Puffinus lherminieri,2023076,True,False
Dendrocolaptes medius,2025859,True,False
Aegla manuinflata,2025200,True,False
Sphaenorhynchus bromelicola,1069321,True,False
Helicops boitata,2301311,True,False
Franciscobasis franciscoi,2301615,True,False
Aegla brevipalma,2025183,True,False
Furipterus horrens,17649,True,False
Pachylospeleus strinatii,1319848,True,False
Circus cinereus,11071,True,False
Titanolebias cheradophilus,2479198,True,False
Homonota uruguayensis,1252018,True,False
Garcialebias nigrofasciatus,2479182,True,False
Nematolebias whitei,176606,True,False
Pseudosinella ambigua,2300089,True,False
Carcharhinus longimanus,727197,True,False
Amphisbaena arda,239057,True,False
Mimagoniates sylvicola,1010003,True,False
Euvola ziczac,515843,True,False
Rodriguesophis chui,2023420,True,False
Amphisbaena metallurga,2301641,True,False
Cynolebias akroa,2300683,True,False
Leptokoenenia pelada,2024072,True,False
Moema piriana,458739,True,False
Hyperaulax ramagei,2303182,True,False
Pogonopoma obscurum,457750,True,False
Podocnemis sextuberculata,8724,True,False
Myliobatis freminvillei,2303345,True,False
Metagonia potiguar,2024019,True,False
Amphisbaena saxosa,2023231,True,False
Colossoma macropomum,14058,True,False
Pseudotocinclus tietensis,286541,True,False
Orobrassolis ornamentalis,1319846,True,False
Ophthalmolebias suzarti,2025543,True,False
Psammisotoma restingae,2024416,True,False
Mycetagroicus urbanus,2024920,True,False
Tomigerus gibberulus,2303459,True,False
Benthana alba,2304037,True,False
Diomedea sanfordi,1319957,True,False
Sphyrna tudes,1011603,True,False
Campellolebias chrysolineatus,729971,True,False
Phrynomedusa marginata,715861,True,False
Mustelus canis,454741,True,False
Rachoviscus crassiceps,1010786,True,False
Rhegmatorhina hoffmannsi,6676,True,False
Hypsolebias tocantinensis,2025479,True,False
Prochilodus harttii,1009257,True,False
Hylopezus whittakeri,2025889,True,False
Machadagrion garbei,2303119,True,False
Aegla charon,2028040,True,False
Hypsolebias harmonicus,2025455,True,False
Girardia multidiverticulata,2028074,True,False
Plecturocebus grovesi,2300808,True,False
Chlorosoma laticeps,2303023,True,False
Elaenia ridleyana,7145,True,False
Centris hyptidoides,1703151,True,False
Aegla loyolai,2300454,True,False
Lepidothrix vilasboasi,1320255,True,False
Thamnophilus aethiops distans,2025978,True,False
Hypsolebias splendissimus,2300693,True,False
Cyanocorax hafferi,2025847,True,False
Kerodon acrobata,17708,True,False
Brachyteles hypoxanthus,10452,True,False
Hylodes mertensi,788378,True,False
Anthus nattereri,8311,True,False
Gymnolebias jaegari,2479202,True,False
Carcharhinus obscurus,727195,True,False
Isoctenus corymbus,1375984,True,False
Crossodactylodes izecksohni,2300923,True,False
Amazona rhodocorytha,9858,True,True
Physeter macrocephalus,1840166,True,False
Ameivula cipoensis,2301688,True,False
Leptopanchax citrinipinnis,2300730,True,False
Drepanotrema pileatum,2026374,True,False
Seira mataraquensis,2024322,True,False
Campylorhamphus multostriatus,2025851,True,False
Phaethon lepturus,6468,True,False
Leptodon forbesi,12838,True,False
Sporophila frontalis,2302350,True,True
Endecous peruassuensis,2028016,True,False
Celeus galeatus,2300479,True,False
Hermanella nigra,2024847,True,False
Aegla franca,2025187,True,False
Ischnocnema epipeda,1708443,True,False
Oxymycterus caparaoe,2023592,True,False
Halichoeres rubrovirens,1808918,True,False
Chiropotes utahicki,2026606,True,False
Formicivora erythronotos,7190,True,False
Phyllomyias reiseri,6499,True,False
Johngarthia lagostoma,1675876,True,False
Forcepsioneura machadorum,2303212,True,False
Matilebias alexandri,2479188,True,False
Phyllocaulis renschi,2026270,True,False
Cassis tuberosa,850300,True,False
Synaptula secreta,1905627,True,False
Isbrueckerichthys saxicola,1667705,True,False
Aegla renana,2025215,True,False
Rowlandius ubajara,2024077,True,False
Coleodactylus elizae,2023249,True,False
Cinclodes espinhacensis,2025878,True,False
Dobrodesmus mirabilis,2028003,True,False
Epinecrophylla dentei,2025936,True,False
Iuiuia caeca,2028014,True,False
Tropidurus mucujensis,231825,True,False
Brasileirinho cavaticus,2028043,True,False
Terenura sicki,1714816,True,False
Steindachneridion melanodermatum,1502930,True,False
Amphisbaena nigricauda,239013,True,False
Holoaden bradei,1069754,True,False
Lagothrix lagothricha lagothricha,2300811,True,False
Charinus potiguar,2024004,True,False
Squatina occulta,1011201,True,False
Hyalella veredae,2028026,True,False
Monocondylaea franciscana,2026238,True,False
Hypsolebias hellneri,2025456,True,False
Acrobatornis fonsecai,8285,True,False
Sclerurus macconnelli bahiae,2025927,True,False
Scytalopus iraiensis,6713,True,False
Ancistrus minutus,866099,True,False
Alectrurus tricolor,8291,True,False
Selenidera gouldii baturitensis,2026029,True,False
Hypsolebias delucai,2025445,True,False
Squatina guggenheim,1011202,True,False
Synallaxis infuscata,6814,True,False
Rhopornis ardesiacus,1320254,True,False
Parastacus tuerkayi,2300462,True,False
Hypsolebias shibattai,2300692,True,False
Hypsolebias flavicaudatus,2025449,True,False
Glossoscolex matogrossensis,2301850,True,False
Callicebus nigrifrons,1465215,True,False
Leontopithecus chrysomelas,12778,True,False
Ameiva parecis,2023255,True,False
Philodryas livida,1455391,True,False
Thamnophilus nigrocinereus huberi,2300327,True,False
Inia araguaiaensis,2300128,True,False
Spelaeochernes gracilipalpus,1832067,True,False
Melanorivulus leali,2025513,True,False
Leposoma puk,489293,True,False
Hypsolebias lopesi,2025460,True,False
Ginglymostoma cirratum,1012059,True,False
Ozotoceros bezoarticus leucogaster,2301493,True,False
Chiasmocleis alagoana,2027626,True,False
Scriptosaura catimbau,2023290,True,False
Tinamus tao,7834,True,False
Trichomycterus dali,2025724,True,False
Ophthalmolebias rosaceus,2025542,True,False
Bothrops sazimai,2300647,True,False
Glossoscolex riograndensis,2301986,True,False
Sapajus cay,2023749,True,False
Coarazuphium kayapo,2303891,True,False
Atlantodesmus pickeli,2024117,True,False
Penelope jacucaca,13935,True,False
Malacoptila minor,2303029,True,False
Ctenomys flamarioni,17558,True,False
Chelonoidis carbonarius,2026527,True,False
Crenicichla jupiaensis,1005387,True,False
Neomorphus squamiger,6372,True,False
Indiani gaspar,2303587,True,False
Crax blumenbachii,11297,True,False
Macrobrachium denticulatum,1101008,True,False
Amphisbaena tiaraju,2301681,True,False
Xipholena lamellipennis,8274,True,False
Atlantirivulus maricensis,2025428,True,False
Phrynops williamsi,243915,True,False
Mycetopoda legumen,2026241,True,False
Myliobatis goodei,2303346,True,False
Microglanis robustus,1512196,True,False
Makaira nigricans,1010465,True,False
Phyllomys brasiliensis,1319859,True,False
Ferricixius davidi,2028012,True,False
Crax globulosa,11294,True,False
Scytalopus gonzagai,2025918,True,False
Burhinus bistriatus,2022884,True,False
Lavajatus moroi,2304311,True,False
Xenohyla truncata,1107256,True,False
Eukoenenia neytiri,2027997,True,False
Trinomys minor,2023645,True,False
Apostolepis arenaria,1769755,True,False
Cyphocharax jagunco,2301507,True,False
Lopholatilus villarii,396446,True,False
Pterodroma madeira,2303171,True,False
Spelaeogammarus ginae,2304198,True,False
Callithrix aurita,10653,True,False
Sparisoma axillare,14280,True,False
Lebiasina marilynae,2025379,True,False
Trogon muriciensis,2302803,True,False
Ideoroncus cavicola,1926491,True,False
Limnodromus griseus,7394,True,False
Pyrrhura cruentata,9143,True,True
Austrolebias univentripinnis,1954961,True,False
Listrura depinnai,2025718,True,False
Rachoviscus graciliceps,1010023,True,False
Sphaenorhynchus cammaeus,2300162,True,False
Conopophaga lineata lineata,2025845,True,False
Panthera onca,13775,True,False
Conothraupis mesoleuca,7024,True,False
Ariadna aurea,2300151,True,False
Geositta poeciloptera,1320151,True,False
Amphisbaena arenaria,239052,True,False
Bokermannohyla napolii,2300236,True,False
Archolaemus santosi,2025579,True,False
Atlantoraja castelnaui,2303301,True,False
Cephalometra pallida,2303888,True,False
Dolichothele diamantinensis,2301752,True,False
Fregata minor,12127,True,False
Sporophila nigrorufa,2302365,True,True
Pampasatyrus reticulata gagarini,2027794,True,False
Cephalotes liviaprado,2304302,True,False
Kryptolebias brasiliensis,803055,True,False
Glaucomastix littoralis,2301648,True,False
Pyrrhura lepida,9136,True,False
Crossodactylus franciscanus,2300239,True,False
Priodontes maximus,8907,True,False
Heteroxolmis dominicanus,7294,True,False
Tapirus terrestris,7751,True,False
Rhipidodonta garbei,2302906,True,False
Psalidodon crenuchoides,1014202,True,False
Arhysosage biguttulata,2302017,True,False
Pogonias courbina,2303109,True,False
Pampasatyrus glaucope eberti,2027787,True,False
Sternarchorhynchus kokraimoro,1503875,True,False
Apostolepis quirogai,1530636,True,False
Arlea psammophila,2024353,True,False
Pampasatyrus glaucope boenninghauseni,2024979,True,False
Isotomurus riparius,2024396,True,False
Starksia multilepis,527092,True,False
Ctenomys lami,2023619,True,False
Coarazuphium pains,1319804,True,False
Cartagonum apiuba,2024749,True,False
Oreaster reticulatus,585762,True,False
Sclerurus caudacutus umbretta,2025924,True,False
Sternarchorhynchus higuchii,1790893,True,False
Pterodroma deserta,2026030,True,False
Steindachneridion scriptum,1440256,True,False
Campellolebias intermedius,1515824,True,False
Oligoneuria amandae,2301249,True,False
Ctenomys minutus,17569,True,False
Formicivora paludicola,2025941,True,False
Hemitriccus kaempferi,7275,True,False
Bokermannohyla vulcaniae,1706460,True,False
Ischnotelson guanambiensis,2301910,True,False
Hyphessobrycon taurocephalus,866929,True,False
Stegastes trindadensis,527249,True,False
Phrynomedusa vanzolinii,715860,True,False
Aegla okora,2300738,True,False
Odontesthes bicudo,802990,True,False
Monomorium delabiei,2024915,True,False
Mobula birostris,2303249,True,False
Arhinolemur gaiero,2301962,True,False
Steindachneridion parahybae,400340,True,False
Dermochelys coriacea,11602,True,False
Pseudobatos horkelii,2303396,True,False
Myrmotherula minor,6360,True,False
Syndactyla ucayalae,1787916,True,False
Epiperipatus adenocryptus,2026420,True,False
Ololygon muriciensis,2026571,True,False
Aspidoras mephisto,2028070,True,False
Hypsolebias faouri,2300575,True,False
Discocyrtus pedrosoi,2024054,True,False
Alouatta guariba guariba,2026087,True,False
