nome_cientifico,nome_popular,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Ideoroncus cavicola,falso escorpião,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Ideoroncidae,Ideoroncus,aracnideos
Limnodromus griseus,Maçarico-de-costa-branca,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,aves
Pyrrhura cruentata,periquitão-sanguíneo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,aves
Austrolebias univentripinnis,Rivúlo-de-espinho-único,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Austrolebias,peixes
Listrura depinnai,,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Listrura,peixes
Rachoviscus graciliceps,Lambari,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Rachoviscus,peixes
Sphaenorhynchus cammaeus,,Animalia,Chordata,Amphibia,Anura,Hylidae,Sphaenorhynchus,anfibios
Conopophaga lineata lineata,,Animalia,Chordata,Aves,Passeriformes,Conopophagidae,Conopophaga,aves
Panthera onca,Onca,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,mamiferos
Conothraupis mesoleuca,tangará-bicudo,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Conothraupis,aves
Ariadna aurea,,Animalia,Arthropoda,Arachnida,Araneae,Segestriidae,Ariadna,aracnideos
Geositta poeciloptera,Bate-bunda,Animalia,Chordata,Aves,Passeriformes,Scleruridae,Geositta,aves
Amphisbaena arenaria,Cobra-de-duas-cabeças,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Bokermannohyla napolii,,Animalia,Chordata,Amphibia,Anura,Hylidae,Bokermannohyla,anfibios
Archolaemus santosi,,Animalia,Chordata,Actinopterygii,Gymnotiformes,Sternopygidae,Archolaemus,peixes
Atlantoraja castelnaui,Raia-de-Castelnau,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Atlantoraja,peixes
Cephalometra pallida,,Animalia,Arthropoda,Insecta,Hemiptera,Hydrometridae,Cephalometra,insetos
Dolichothele diamantinensis,,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Dolichothele,aracnideos
Fregata minor,Tesourão-grande,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,aves
Sporophila nigrorufa,caboclinho-do-sertão,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,aves
Pampasatyrus reticulata gagarini,borboleta,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pampasatyrus,insetos
Cephalotes liviaprado,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cephalotes,insetos
